bm_unit,national_grid_bm_unit,settlement_date,settlement_period,time_from_utc,time_to_utc,level_from_mw,level_to_mw
T_BLLA-2,BLLA-2,2026-09-08,45,2026-09-08T21:00:00Z,2026-09-08T21:30:00Z,19,19
T_BLLA-2,BLLA-2,2026-09-08,46,2026-09-08T21:30:00Z,2026-09-08T22:00:00Z,19,19
T_BLLA-2,BLLA-2,2026-09-08,47,2026-09-08T22:00:00Z,2026-09-08T22:30:00Z,15,15
T_BLLA-2,BLLA-2,2026-09-08,48,2026-09-08T22:30:00Z,2026-09-08T23:00:00Z,14,14
T_BOWLW-1,BOWLW-1,2026-09-08,1,2026-09-07T23:00:00Z,2026-09-07T23:30:00Z,31,33
T_BOWLW-1,BOWLW-1,2026-09-08,2,2026-09-07T23:30:00Z,2026-09-08T00:00:00Z,33,35
T_BOWLW-1,BOWLW-1,2026-09-08,3,2026-09-08T00:00:00Z,2026-09-08T00:30:00Z,47,48
T_BOWLW-1,BOWLW-1,2026-09-08,4,2026-09-08T00:30:00Z,2026-09-08T01:00:00Z,48,50
T_BOWLW-1,BOWLW-1,2026-09-08,5,2026-09-08T01:00:00Z,2026-09-08T01:30:00Z,53,52
T_BOWLW-1,BOWLW-1,2026-09-08,6,2026-09-08T01:30:00Z,2026-09-08T02:00:00Z,52,53
T_BOWLW-1,BOWLW-1,2026-09-08,7,2026-09-08T02:00:00Z,2026-09-08T02:30:00Z,53,52
T_BOWLW-1,BOWLW-1,2026-09-08,8,2026-09-08T02:30:00Z,2026-09-08T03:00:00Z,52,54
T_BOWLW-1,BOWLW-1,2026-09-08,9,2026-09-08T03:00:00Z,2026-09-08T03:30:00Z,42,42
T_BOWLW-1,BOWLW-1,2026-09-08,10,2026-09-08T03:30:00Z,2026-09-08T04:00:00Z,42,45
T_BOWLW-1,BOWLW-1,2026-09-08,11,2026-09-08T04:00:00Z,2026-09-08T04:30:00Z,55,56
T_BOWLW-1,BOWLW-1,2026-09-08,12,2026-09-08T04:30:00Z,2026-09-08T05:00:00Z,56,56
T_BOWLW-1,BOWLW-1,2026-09-08,13,2026-09-08T05:00:00Z,2026-09-08T05:30:00Z,58,58
T_BOWLW-1,BOWLW-1,2026-09-08,14,2026-09-08T05:30:00Z,2026-09-08T06:00:00Z,58,58
T_BOWLW-1,BOWLW-1,2026-09-08,15,2026-09-08T06:00:00Z,2026-09-08T06:30:00Z,58,56
T_BOWLW-1,BOWLW-1,2026-09-08,16,2026-09-08T06:30:00Z,2026-09-08T07:00:00Z,56,53
T_BOWLW-1,BOWLW-1,2026-09-08,17,2026-09-08T07:00:00Z,2026-09-08T07:30:00Z,56,55
T_BOWLW-1,BOWLW-1,2026-09-08,18,2026-09-08T07:30:00Z,2026-09-08T08:00:00Z,55,54
T_BOWLW-1,BOWLW-1,2026-09-08,19,2026-09-08T08:00:00Z,2026-09-08T08:30:00Z,46,45
T_BOWLW-1,BOWLW-1,2026-09-08,20,2026-09-08T08:30:00Z,2026-09-08T09:00:00Z,47,46
T_BOWLW-1,BOWLW-1,2026-09-08,21,2026-09-08T09:00:00Z,2026-09-08T09:30:00Z,52,53
T_BOWLW-1,BOWLW-1,2026-09-08,22,2026-09-08T09:30:00Z,2026-09-08T10:00:00Z,59,61
T_BOWLW-1,BOWLW-1,2026-09-08,23,2026-09-08T10:00:00Z,2026-09-08T10:30:00Z,61,65
T_BOWLW-1,BOWLW-1,2026-09-08,24,2026-09-08T10:30:00Z,2026-09-08T11:00:00Z,65,67
T_BOWLW-1,BOWLW-1,2026-09-08,25,2026-09-08T11:00:00Z,2026-09-08T11:30:00Z,67,68
T_BOWLW-1,BOWLW-1,2026-09-08,26,2026-09-08T11:30:00Z,2026-09-08T12:00:00Z,68,66
T_BOWLW-1,BOWLW-1,2026-09-08,27,2026-09-08T12:00:00Z,2026-09-08T12:30:00Z,69,65
T_BOWLW-1,BOWLW-1,2026-09-08,28,2026-09-08T12:30:00Z,2026-09-08T13:00:00Z,65,59
T_BOWLW-1,BOWLW-1,2026-09-08,29,2026-09-08T13:00:00Z,2026-09-08T13:30:00Z,56,52
T_BOWLW-1,BOWLW-1,2026-09-08,30,2026-09-08T13:30:00Z,2026-09-08T14:00:00Z,52,48
