bm_unit,national_grid_bm_unit,eic,bm_unit_name,lead_party,bm_unit_type,generation_capacity_mw,gsp_group_id,north_of_b6,side_of_b6,side_grade,side_basis,queryable,bid_paid_gbp_015
T_MOWEO-2,MOWEO-2,48W00000MOWEO-2Y,Moray East OWF2,Moray Offshore Wind East Ltd,T,300.000,,False,unknown,-,no graded evidence,True,59862.577914451000424380
T_MOWEO-3,MOWEO-3,48W00000MOWEO-3W,Moray East OWF3,Moray Offshore Wind East Ltd,T,300.000,,False,unknown,-,no graded evidence,True,57850.035640279999256563
T_MOWWO-1,MOWWO-1,48W00000MOWWO-1K,Moray West OWF1,Moray Offshore Wind West Ltd,T,215.000,,False,unknown,-,no graded evidence,True,71556.317814280000220609
T_MOWWO-2,MOWWO-2,48W00000MOWWO-2I,Moray West OWF2,Moray Offshore Wind West Ltd,T,215.000,,False,unknown,-,no graded evidence,True,73963.999154460999648111
T_MOWWO-3,MOWWO-3,48W00000MOWWO-3G,Moray West OWF3,Moray Offshore Wind West Ltd,T,143.000,,False,unknown,-,no graded evidence,True,53079.782725293999988028
T_MOWWO-4,MOWWO-4,48W00000MOWWO-4E,Moray West OWF4,Moray Offshore Wind West Ltd,T,287.000,,False,unknown,-,no graded evidence,True,173017.747872801003268248
T_MYGPW-1,MYGPW-1,,Minnygap Wind Farm,Minnygap Energy Limited,T,25.000,,True,north,B,TEC register row 'Minnygap' hosted by SPT,True,17488.254716313333613446
T_NNGAO-1,NNGAO-1,,Neart Na Gaiothe WF 1,Neart Na Gaoithe Offshore Wind,T,224.000,,False,unknown,-,no graded evidence,True,171135.705593502464473946
T_NNGAO-2,NNGAO-2,,Neart Na Gaiothe WF 2,Neart Na Gaoithe Offshore Wind,T,224.000,,False,unknown,-,no graded evidence,True,
T_NOKYW-1,NOKYW-1,,North Kyle Wind Farm-1,North Kyle Wind farm Ltd,T,106.000,,False,unknown,-,no graded evidence,True,27633.884137780249943713
T_NOKYW-2,NOKYW-2,,North Kyle Wind Farm-2,North Kyle Wind farm Ltd,T,106.000,,False,unknown,-,no graded evidence,True,31454.880953867482379136
T_OMNDW-1,OMNDO-1,48W00000OMNDO-1J,Ormonde Energy Limited 1,Ormonde Energy Ltd,T,150.760,,False,unknown,-,no graded evidence,True,
T_PGBIW-1,PGBIW-1,,Pogbie WF,EDF Energy Customers Limited,T,10.000,,True,north,B,TEC register row 'Pogbie Wind Farm' hosted by SPT,True,
T_PLOEW-1,PLOEW-1,,PENCLOE WIND 1,PENCLOE WIND ENERGY LIMITED,T,81.000,,False,unknown,-,no graded evidence,True,
T_PNYCW-1,PNYCW-1,,PNYCW-1 Export,Pen y Cymoedd Wind Farm LTD,T,228.000,,False,unknown,-,no graded evidence,True,
T_RCBKO-1,RCBKO-1,48W00000RCBKO-1S,RACE_BANK_Z01,Race Bank Wind Farm Ltd,T,284.000,,False,unknown,-,no graded evidence,True,
T_RCBKO-2,RCBKO-2,48W00000RCBKO-2Q,RACE_BANK_Z02,Race Bank Wind Farm Ltd,T,290.000,,False,unknown,-,no graded evidence,True,
T_RMPNO-1,RMPNO-1,48W00000RMPNO-17,Rampion Offshore Wind BMU 1,Rampion Offshore Windfarm Ltd,T,200.100,,False,unknown,-,no graded evidence,True,
T_RMPNO-2,RMPNO-2,48W00000RMPNO-25,Rampion Offshore Wind BMU 2,Rampion Offshore Windfarm Ltd,T,200.100,,False,unknown,-,no graded evidence,True,
T_RREW-1,RREW-1,48W000000RREW-14,T_RREW-1,RWE Renewables UK Robin Rigg,T,114.293,,False,unknown,-,no graded evidence,True,
T_RRWW-1,RRWW-1,48W000000RRWW-1P,T_RRWW-1,RWE Renewables UK Robin Rigg,T,90.838,,False,unknown,-,no graded evidence,True,
T_SAKNW-1,SAKNW-1,,Sandy Knowe Wind Farm,Sandy Knowe Wind Farm Ltd,T,87.000,,True,north,B,TEC register row 'Sandy Knowe Wind Farm' hosted by SPT,True,64470.273064486667323085
T_SANQW-1,SANQW-1,48W00000SANQW-1B,SANQUHAR,SANQUHAR CWCL,T,32.080,,True,north,B,TEC register row 'Sanquhar Wind Farm' hosted by SPT,True,
T_SGRWO-1,SGRWO-1,48W00000SGRWO-1L,Seagreen1 Offshore WF 1,Seagreen Wind Energy Limited,T,358.000,,False,unknown,-,no graded evidence,True,76193.913475546532254160
T_SGRWO-2,SGRWO-2,48W00000SGRWO-2J,Seagreen1 Offshore WF 2,Seagreen Wind Energy Limited,T,220.000,,False,unknown,-,no graded evidence,True,20852.460208427466398012
T_SGRWO-3,SGRWO-3,48W00000SGRWO-3H,Seagreen1 Offshore WF 3,Seagreen Wind Energy Limited,T,374.618,,False,unknown,-,no graded evidence,True,38221.246079216199404983
